rel_path	classification	target_surface	source_path	note
NWC24/NWC24SendThread.cpp	compat-temporary	no	decomp/src/Game/NWC24/NWC24SendThread.cpp	source exists but pc-port behavior/shape differs
NWC24/NWC24SendThread.hpp	compat-temporary	no	decomp/include/Game/NWC24/NWC24SendThread.hpp	source exists but pc-port behavior/shape differs
NWC24/NWC24System.cpp	compat-temporary	no	decomp/src/Game/NWC24/NWC24System.cpp	source exists but pc-port behavior/shape differs
NameObj/NameObjCategoryList.hpp	compat-temporary	yes	decomp/include/Game/NameObj/NameObjCategoryList.hpp	source exists but pc-port behavior/shape differs
NameObj/NameObjGroup.hpp	compat-temporary	yes	decomp/include/Game/NameObj/NameObjGroup.hpp	source exists but pc-port behavior/shape differs
NameObj/NameObjHolder.hpp	compat-temporary	yes	decomp/include/Game/NameObj/NameObjHolder.hpp	source exists but pc-port behavior/shape differs
Player/DLchanger.hpp	compat-temporary	no	decomp/include/Game/Player/DLchanger.hpp	source exists but pc-port behavior/shape differs
Player/GroupChecker.hpp	compat-temporary	no	decomp/include/Game/Player/GroupChecker.hpp	source exists but pc-port behavior/shape differs
Player/J3DModelX.cpp	compat-temporary	no	decomp/src/Game/Player/J3DModelX.cpp	source exists but pc-port behavior/shape differs
Player/J3DModelX.hpp	compat-temporary	no	decomp/include/Game/Player/J3DModelX.hpp	source exists but pc-port behavior/shape differs
Player/MarineSnow.cpp	compat-temporary	no	decomp/src/Game/Player/MarineSnow.cpp	source exists but pc-port behavior/shape differs
Player/Mario.cpp	compat-temporary	no	decomp/src/Game/Player/Mario.cpp	source exists but pc-port behavior/shape differs
Player/Mario.hpp	compat-temporary	no	decomp/include/Game/Player/Mario.hpp	source exists but pc-port behavior/shape differs
Player/MarioAccess.cpp	compat-temporary	no	decomp/src/Game/Player/MarioAccess.cpp	source exists but pc-port behavior/shape differs
Player/MarioAccess.hpp	compat-temporary	no	decomp/include/Game/Player/MarioAccess.hpp	source exists but pc-port behavior/shape differs
Player/MarioActor.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActor.cpp	source exists but pc-port behavior/shape differs
Player/MarioActor.hpp	compat-temporary	no	decomp/include/Game/Player/MarioActor.hpp	source exists but pc-port behavior/shape differs
Player/MarioActorBlackHole.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorBlackHole.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorClap.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorClap.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorDefensiveMsg.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorDefensiveMsg.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorDraw.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorDraw.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorEye.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorEye.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorGravity.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorGravity.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorHand.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorHand.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorInit.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorInit.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorMorph.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorMorph.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorOffensiveMsg.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorOffensiveMsg.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorParts.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorParts.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorRush.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorRush.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorRushMsg.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorRushMsg.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorSensor.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorSensor.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorShadow.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorShadow.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorSpecialDraw.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorSpecialDraw.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorTakeMsg.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorTakeMsg.cpp	source exists but pc-port behavior/shape differs
Player/MarioActorWipe.cpp	compat-temporary	no	decomp/src/Game/Player/MarioActorWipe.cpp	source exists but pc-port behavior/shape differs
Player/MarioAnimationEfx.cpp	compat-temporary	no	decomp/src/Game/Player/MarioAnimationEfx.cpp	source exists but pc-port behavior/shape differs
Player/MarioAnimator.cpp	compat-temporary	no	decomp/src/Game/Player/MarioAnimator.cpp	source exists but pc-port behavior/shape differs
Player/MarioAnimator.hpp	compat-temporary	no	decomp/include/Game/Player/MarioAnimator.hpp	source exists but pc-port behavior/shape differs
Player/MarioBee.cpp	compat-temporary	no	decomp/src/Game/Player/MarioBee.cpp	source exists but pc-port behavior/shape differs
Player/MarioBlown.cpp	compat-temporary	no	decomp/src/Game/Player/MarioBlown.cpp	source exists but pc-port behavior/shape differs
Player/MarioBlown.hpp	compat-temporary	no	decomp/include/Game/Player/MarioBlown.hpp	source exists but pc-port behavior/shape differs
Player/MarioBump.cpp	compat-temporary	no	decomp/src/Game/Player/MarioBump.cpp	source exists but pc-port behavior/shape differs
Player/MarioCollision.cpp	compat-temporary	no	decomp/src/Game/Player/MarioCollision.cpp	source exists but pc-port behavior/shape differs
