symbol	demangled	category	pc_archive_provider	pc_archive_status
_ZN11WarpCubeMgr16startEventCameraEPK7AreaObj	WarpCubeMgr::startEventCamera(AreaObj const*)	other Game/runtime provider		not found in PC archives
_ZN11WarpCubeMgr18setInvalidateTimerEP7AreaObjt	WarpCubeMgr::setInvalidateTimer(AreaObj*, unsigned short)	other Game/runtime provider		not found in PC archives
_ZN13HashSortTable3addEPKcjb	HashSortTable::add(char const*, unsigned int, bool)	other Game/runtime provider		not found in PC archives
_ZN13HashSortTable4sortEv	HashSortTable::sort()	other Game/runtime provider		not found in PC archives
_ZN13HashSortTable6searchEPKcPj	HashSortTable::search(char const*, unsigned int*)	other Game/runtime provider		not found in PC archives
_ZN13HashSortTableC1Ej	HashSortTable::HashSortTable(unsigned int)	other Game/runtime provider		not found in PC archives
_ZN13MarioAnimator13waterToGroundEv	MarioAnimator::waterToGround()	J3D/model/animation		not found in PC archives
_ZN13MarioAnimator21updateTakingAnimationEPK9HitSensor	MarioAnimator::updateTakingAnimation(HitSensor const*)	HitSensor		not found in PC archives
_ZN13MarioAnimator8setSpeedEf	MarioAnimator::setSpeed(float)	J3D/model/animation		not found in PC archives
_ZN21GameSceneLayoutHolder22changeLifeMeterModeBeeEv	GameSceneLayoutHolder::changeLifeMeterModeBee()	other Game/runtime provider		not found in PC archives
_ZN21GameSceneLayoutHolder25changeLifeMeterModeGroundEv	GameSceneLayoutHolder::changeLifeMeterModeGround()	other Game/runtime provider		not found in PC archives
_ZN2MR10emitEffectEP9LiveActorPKc	MR::emitEffect(LiveActor*, char const*)	effects/audio	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR10getAreaObjEPKcRKN9JGeometry5TVec3IfEE	MR::getAreaObj(char const*, JGeometry::TVec3<float> const&)	J3D/model/animation	libsmg-pc-game.a[AreaObjUtil.cpp.o]	provided
_ZN2MR10getBckCtrlEPK9LiveActor	MR::getBckCtrl(LiveActor const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR10isNearZeroERKN9JGeometry5TVec3IfEEf	MR::isNearZero(JGeometry::TVec3<float> const&, float)	J3D/model/animation	libsmg-pc-game.a[GameMathCompat.cpp.o]	provided
_ZN2MR10isNearZeroEff	MR::isNearZero(float, float)	other Game/runtime provider	libsmg-pc-game.a[GameMathCompat.cpp.o]	provided
_ZN2MR10onCalcAnimEP9LiveActor	MR::onCalcAnim(LiveActor*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR10setBckRateEPK9LiveActorf	MR::setBckRate(LiveActor const*, float)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR10stopSubBGMEj	MR::stopSubBGM(unsigned int)	effects/audio		not found in PC archives
_ZN2MR11calcCubePosEPK7AreaObjPN9JGeometry5TVec3IfEE	MR::calcCubePos(AreaObj const*, JGeometry::TVec3<float>*)	J3D/model/animation		not found in PC archives
_ZN2MR11getHashCodeEPKc	MR::getHashCode(char const*)	other Game/runtime provider	libsmg-pc-game.a[StorySequencePlatformCompat.cpp.o]	provided
_ZN2MR11getJointMtxEPK9LiveActorPKc	MR::getJointMtx(LiveActor const*, char const*)	J3D/model/animation	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR11loadViewMtxEv	MR::loadViewMtx()	other Game/runtime provider		not found in PC archives
_ZN2MR11offCalcAnimEP9LiveActor	MR::offCalcAnim(LiveActor*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR11setBckFrameEPK9LiveActorf	MR::setBckFrame(LiveActor const*, float)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR11startSubBGMEPKcb	MR::startSubBGM(char const*, bool)	effects/audio		not found in PC archives
_ZN2MR12copyJointPosEPK9LiveActorPKcPN9JGeometry5TVec3IfEE	MR::copyJointPos(LiveActor const*, char const*, JGeometry::TVec3<float>*)	J3D/model/animation		not found in PC archives
_ZN2MR12deleteEffectEP9LiveActorPKc	MR::deleteEffect(LiveActor*, char const*)	effects/audio	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR12diffAngleAbsERKN9JGeometry5TVec2IfEES4_	MR::diffAngleAbs(JGeometry::TVec2<float> const&, JGeometry::TVec2<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR12diffAngleAbsERKN9JGeometry5TVec3IfEES4_	MR::diffAngleAbs(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR12isDemoActiveEv	MR::isDemoActive()	other Game/runtime provider	libsmg-pc-game.a[DemoUtilCompat.cpp.o]	provided
_ZN2MR12isSensorRushEPK9HitSensor	MR::isSensorRush(HitSensor const*)	HitSensor	libsmg-pc-game.a[GameActorSensorCompat.cpp.o]	provided
