source	status	error_count	categories	first_error_category	first_error
src/Game/Player/MarioState.cpp	pass	0	-	-	-
src/Game/Player/MarioStep.cpp	pass	0	-	-	-
src/Game/Player/MarioStick.cpp	fail	1	other exact Game/API surface	other exact Game/API surface	call of overloaded ‘startPadVib(long unsigned int)’ is ambiguous
src/Game/Player/MarioSukekiyo.cpp	pass	0	-	-	-
src/Game/Player/MarioSwim.cpp	fail	19	J3D/model/animation,other exact Game/API surface	J3D/model/animation	‘PI’ is not a member of ‘JGeometry::TUtil<float>’
src/Game/Player/MarioSwimDamage.cpp	pass	0	-	-	-
src/Game/Player/MarioTalk.cpp	pass	0	-	-	-
src/Game/Player/MarioTask.cpp	pass	0	-	-	-
src/Game/Player/MarioWait.cpp	fail	1	J3D/model/animation	J3D/model/animation	‘J3DModelData’ does not name a type; did you mean ‘J3DModel’?
src/Game/Player/MarioWalk.cpp	fail	1	Binder/KCL	Binder/KCL	‘class LiveActor’ has no member named ‘mCollisionParts’
src/Game/Player/MarioWall.cpp	pass	0	-	-	-
src/Game/Player/MarioWarp.cpp	pass	0	-	-	-
src/Game/Player/MatrixControl.cpp	pass	0	-	-	-
src/Game/Player/ModelHolder.cpp	fail	2	RVL/platform	RVL/platform	too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/RushEndInfo.cpp	pass	0	-	-	-
src/Game/Player/TornadoMario.cpp	pass	0	-	-	-
